label,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
0,16_A_B_OC,96,0,96,0.6792000891265597,0.6095950739224945,0.7552918894830659,0.3644181996598224,0.5374119738082269,0.7472127852606437,0.0044594353745899,1.0
0,1_A_B_OC,1,0,100,0.7312299465240641,0.6771211635129614,0.8112299465240638,0.4660327312480521,0.4723216267574783,0.7978867864307325,0.0063355508818633,0.01
1,6_A_B_H,0,31,98,0.7164138382625779,0.661375047266165,0.7888246207573939,0.4339221512225914,0.6646343651952924,0.5952606433161473,0.005516788555656,0.0
1,13_nh_A_B_H,0,0,112,0.7280366692131401,0.6704603603985053,0.8061974789915961,0.4578177932060656,0.2607766658840684,0.9134961967020024,0.0064920343309773,0.0
1,46_A_B_H,0,0,89,0.7179895451541186,0.6569502907913417,0.8011776722946582,0.438484139487561,0.129229527841175,0.967065007224855,0.0048162934390655,0.0
1,9_A_B_H,0,27,104,0.7185571781160015,0.6598239505459181,0.7957373508844096,0.4385051507273784,0.6457894676690289,0.6216502082851592,0.0063919298274876,0.0
0,41_A_B_OC,108,0,109,0.6980817347789826,0.6334441376257542,0.7710837462591378,0.3979739280218765,0.5202930077581976,0.765435426507371,0.0049844582503718,0.9908256880733946
0,36_A_B_OC,105,0,114,0.7102448634956378,0.6479106100343801,0.7803264846608501,0.422378230165823,0.5686079970323549,0.7097633479221929,0.0048250401250329,0.9210526315789472
0,17_nd_A_B_OC,0,0,93,0.7290265079638895,0.6781212855076685,0.8116842044735779,0.4574069672733059,0.4745076867768307,0.800007080511736,0.0051611698659272,0.0
0,19_A_B_OC,111,0,113,0.7042496805641005,0.6395023494096401,0.7842033032038237,0.4122716531644277,0.4832970762536487,0.7954384906661904,0.0050808309845248,0.9823008849557522
1,14_A_B_H,0,43,112,0.7153600076394199,0.6593904274121976,0.7889849121466765,0.4317922850706819,0.6675672831504198,0.5890436287909664,0.0051193204061637,0.0
0,17_A_B_OC,102,0,111,0.705834176422412,0.6457478209532768,0.7757864816688345,0.4130588190607153,0.5389848014895507,0.7351076776172913,0.0042792423915704,0.918918918918919
1,48_A_B_H,0,0,111,0.7293684058389941,0.6726091999925052,0.8056559233029821,0.4595005113201049,0.0982638522949938,0.9766313405299508,0.0056755990897659,0.0
1,29_A_B_H,0,0,104,0.718762854792267,0.6588637749295093,0.7988739201974493,0.4401295407590339,0.0951757188449535,0.9764709282542128,0.0053336789593497,0.0
1,51_A_B_H,0,0,109,0.7213854682823921,0.6658526774757332,0.8094735809252809,0.4425928369523036,0.0939864015833636,0.9760795494082304,0.0042573130667736,0.0
0,2_A_B_OC,0,0,114,0.7307674265878602,0.6783623446661622,0.8015526784876628,0.461112941265985,0.4394245393447116,0.8270644233951248,0.0038925914903873,0.0
1,45_A_B_H,0,0,80,0.7202540106951871,0.6634728650774279,0.7956885026737966,0.441298227540147,0.312297593548295,0.8715671805072841,0.0053974342917108,0.0
1,11_nh_A_B_H,0,89,104,0.7103558206499384,0.6548028354070117,0.7870989304812834,0.420120714117898,0.6208183467200075,0.6631043663384646,0.005732045374404,0.0
1,9_nd_A_B_H,0,29,102,0.7193037642864633,0.6637050447670992,0.7947467757156338,0.4403886653642887,0.6648871695121139,0.5941770332247668,0.005481231097778,0.0
1,31_A_B_H,0,0,101,0.7303700958331125,0.673402029412193,0.8067718536559537,0.4646456686225659,0.0817519499571238,0.980037294192268,0.0058497144146626,0.0
0,18_nd_A_B_OC,0,0,100,0.7308556149732621,0.6764863253196668,0.8173529411764704,0.4651581909851408,0.4501822299263006,0.8218233974839017,0.0057023406878993,0.0
