sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
pool5_S5_high,1,66,0,104,0.4840277777777776,0.30209559793455265,0.495165598290598,-0.03266034991518484,0.6297112875640146,0.6382287205261867,0.006586172539853769,0.6346153846153846
pool7_S15_high,1,72,0,95,0.4879532163742691,0.30718861351879173,0.48356725146198837,-0.023435583327611673,0.6456875045356992,0.6244521992601919,0.007311959962949137,0.7578947368421053
pool4_S12_low,0,0,67,96,0.477835648148148,0.30320092393491394,0.4699363425925924,-0.046812291693510956,0.6288072698336058,0.6395950757640431,0.006019814679445527,0.6979166666666666
pool9_S4_high,1,64,0,120,0.491898148148148,0.30699916925603404,0.49430555555555544,-0.015176330944989241,0.6470228612328205,0.6090223097507381,0.0060192425735726375,0.5333333333333333
pool7_S8_low,0,0,3,98,0.4843537414965987,0.29405614511692846,0.5016156462585034,-0.02946057057703887,0.5529254811659675,0.7293647110191984,0.007116804721124799,0.030612244897959183
pool5_S16_low,0,0,30,97,0.4824169530355098,0.30443826884045116,0.4786941580756013,-0.03362375743427182,0.6436498177178208,0.6289665612322997,0.007257381952399135,0.30927835051546393
pool6_S11_high,1,84,0,100,0.493,0.30622892567640825,0.5029166666666666,-0.017069468068867232,0.6333250016420746,0.6313053846623475,0.005814702581369248,0.84
pool4_S8_low,0,0,21,100,0.48788888888888876,0.31111075206407657,0.5033611111111109,-0.02400713572707498,0.6063781937756632,0.6608085395117037,0.007509277964833521,0.21
pool1_S2_high,1,76,0,105,0.48349206349206336,0.3041088349169034,0.4861111111111112,-0.035249830431246604,0.6466957592609194,0.6189421982822213,0.007059269434269434,0.7238095238095238
pool7_S14_low,0,0,63,88,0.47089646464646423,0.3028777051704628,0.4788194444444445,-0.0611774483289456,0.6359723767489748,0.6300538836295851,0.006416910967916714,0.7159090909090909
pool1_S13_low,0,0,38,109,0.4882262996941895,0.30696259786777824,0.48868501529051983,-0.026479009463170087,0.576784480183807,0.6693608309634946,0.006120098748652377,0.3486238532110092
pool3_S14_low,0,0,43,101,0.486963696369637,0.32190549097555204,0.49323432343234314,-0.019984011881063066,0.6089203009615575,0.6441840037294608,0.007334836817015034,0.42574257425742573
pool9_S19_high,1,104,0,108,0.4866255144032922,0.30502445656251664,0.4774948559670779,-0.026326431191636718,0.540487062900055,0.7296507803186965,0.006163053557769145,0.9629629629629629
