sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
1_nd_A_B_OC,1,106,0,107,0.6456844420010995,0.5877540185984631,0.7218751561797192,0.2889907673703109,0.5558328272305255,0.7260385386279018,0.00623967272441053,0.0
13_A_B_H,0,0,87,94,0.6513824098304697,0.6051518084307375,0.7135908522016156,0.3032112952623879,0.6339590515507828,0.651050492795384,0.0067001135541831245,0.0
14_nd_A_B_OC,1,60,0,105,0.682403870639165,0.6270674943509444,0.7418894830659536,0.3637131642233118,0.6729385259741438,0.5749382476855529,0.00649118628042818,0.0
7_A_B_H,0,0,110,110,0.6624210014584344,0.615142334557114,0.7232863393291203,0.3246176239975059,0.5951693483025343,0.7013808819262727,0.006700618498486128,0.0
21_nh_A_B_H,0,0,0,90,0.7016339869281046,0.6540086185234066,0.7590612002376704,0.4012985032616114,0.37534356633710136,0.8538653712464068,0.00596481674209106,0.0
36_A_B_OC,1,19,0,112,0.684468105423988,0.6356992667859067,0.7375620702826584,0.3681964015935704,0.6248925713416975,0.6459532791342549,0.006454171575868651,0.0
15_A_B_H,0,0,62,89,0.6785735744757555,0.633171805141937,0.7378177011356125,0.3574418823506131,0.6589059882421572,0.6052960523539721,0.005026606668197085,0.0
29_A_B_OC,1,0,0,106,0.6913025930783981,0.6444091766316179,0.7553223690848551,0.38191939197258246,0.5870845618778349,0.7139940875402779,0.006143826991726238,0.0
15_A_B_OC,1,2,0,104,0.6846976552858905,0.6367044543376728,0.745526532291238,0.36998591645234347,0.6077971654458927,0.6886057747901593,0.006039148170306226,0.0
12_nd_A_B_OC,1,6,0,92,0.6796965821901881,0.6340887479110912,0.7304115322018138,0.3586303720164872,0.613592798648353,0.6747419040178686,0.006782858230708936,0.0
13_nd_A_B_H,0,0,47,99,0.6766866526224817,0.6275451768004634,0.7434235402149837,0.35360514509499874,0.6711342183339746,0.5768914108446266,0.006522931501381802,0.0
4_A_B_H,0,0,93,93,0.6618078316370535,0.6155584948029419,0.7160887815536773,0.32521022084991086,0.5719694468423833,0.7226660953250513,0.006024219728658087,0.0
7_nd_A_B_OC,1,67,0,102,0.6606899444269686,0.6006631271148561,0.7366834434308484,0.3211511736120518,0.6634980177782397,0.5970588325334693,0.00752201027330311,0.0
22_A_B_H,0,0,0,108,0.6847395523866113,0.6322423089090928,0.7462863933452167,0.37092037699868075,0.006889823036713202,0.9988323264896293,0.006111626377359737,0.0
10_nh_A_B_H,0,0,97,97,0.6642593307238549,0.6198010310010498,0.7176525718066046,0.327863544631351,0.5275632087535188,0.7683684100904424,0.005656633258578855,0.0
3_nd_A_B_OC,1,99,0,99,0.6589963809215146,0.6068884868043097,0.7197914978663645,0.31685087525082506,0.5013397329533438,0.7774042447637288,0.006144409119697436,0.0
42_A_B_H,0,0,0,94,0.6768972579360565,0.6216021965273271,0.7482079872567984,0.3533841883486984,0.013230690420610706,0.997686282163955,0.006283492136274518,0.0
18_nd_A_B_OC,1,39,0,86,0.655702027111056,0.597714248237801,0.7160489988807361,0.31390940463017036,0.6642898662745232,0.5938261402587103,0.0065758536415623,0.0
9_nd_A_B_OC,1,0,0,111,0.6875752758105699,0.6400435855428137,0.7474586886351595,0.37573503545747056,0.6044879504518924,0.696482067246328,0.005130673947340137,0.0
17_nd_A_B_OC,1,0,0,115,0.677051848407347,0.6275589693498752,0.749616368286445,0.3533964029814619,0.3740467797255972,0.8692091412079911,0.005082042918301029,0.0
41_A_B_H,0,0,0,97,0.6760846794200341,0.6207547826892703,0.7453828766745684,0.35181744023912204,0.013013831741945469,0.997619934953899,0.006788600512049013,0.0
