,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
46,12_A_B_OC,94,0,101,0.662572139566898,0.6049397758793003,0.7355323767670883,0.32431926926336546,0.6017923369634838,0.6717138436578995,0.005580802968626527,0.9306930693069307
47,36_A_B_OC,18,0,102,0.6918055992450456,0.6444436501624289,0.7416378316032295,0.3815175218322762,0.6360020379786714,0.6398496773600713,0.007627254361725794,0.17647058823529413
48,26_nd_A_B_H,0,3,96,0.6822916666666666,0.6298349443906082,0.7442346256684492,0.36257642104897864,0.5696126484598834,0.6968010523623073,0.006253056435198495,0.0
49,41_A_B_H,0,0,95,0.699493385871095,0.6461678646557196,0.7600619195046441,0.3960977206805896,0.009871994441213418,0.9981723427349443,0.0066583738205879175,0.0
50,9_A_B_OC,82,0,89,0.6578741813374991,0.6084519970434997,0.7272727272727273,0.31347726040925405,0.486862137876199,0.7627523742643545,0.005478051682197667,0.9213483146067416
51,22_A_B_OC,35,0,98,0.6685856160646079,0.6119381094720601,0.7353759685692458,0.33643316997249967,0.6587929055857467,0.6030742104475592,0.006594850350366231,0.35714285714285715
52,40_A_B_H,0,0,96,0.6842134581105168,0.635742868129589,0.7522838680926914,0.3678359579879947,0.05826387069373262,0.9870799777522768,0.006733404348613535,0.0
53,32_A_B_H,0,0,121,0.6817518893357497,0.6281215128698323,0.7517346532903169,0.3613783626847697,0.09558917174858707,0.9741224104221963,0.006954429019264367,0.0
54,10_nd_A_B_H,0,106,110,0.6701263976665048,0.6225572837992432,0.7279533300923674,0.3381046092498531,0.609427603184432,0.6807830206811428,0.006554148365079987,0.0
55,2_nd_A_B_OC,33,0,105,0.6673032849503442,0.6140790062756268,0.7285204991087346,0.33269947412682327,0.6643624204902848,0.5941291695601943,0.007331061514767084,0.3142857142857143
56,6_nd_A_B_H,0,41,92,0.6748430597535457,0.6279289743880572,0.7236979772146013,0.34964789276997804,0.6376512635250414,0.6332547555561934,0.007029453170569464,0.0
57,45_A_B_H,0,0,103,0.689112714812315,0.6388880810675234,0.7504802450547738,0.37555485453948356,0.010860742452588862,0.9980354481314206,0.00694595523749008,0.0
58,17_nd_A_B_H,0,5,102,0.6770997168921048,0.6214240516799361,0.7428960889168502,0.35380085901533354,0.5933153059522637,0.6903544790241608,0.0062016989405026405,0.0
59,45_A_B_OC,20,0,101,0.6939429237041355,0.6442993757810241,0.7460157780483931,0.38583473679151714,0.6579252626258161,0.6064552188502409,0.007625977917074501,0.19801980198019803
60,38_A_B_H,0,0,93,0.6929158760278304,0.640450848889221,0.7626070956241734,0.3845953951210692,0.14434668057254413,0.9583809709994608,0.005866523118700031,0.0
61,14_nd_A_B_OC,55,0,96,0.6818181818181818,0.6333948493214393,0.7287767379679143,0.3618995127933087,0.6598308226715219,0.6025000343394566,0.00719163288988292,0.5729166666666666
62,21_nd_A_B_H,0,49,92,0.6805684724482677,0.6326202787307247,0.7406707742385492,0.360648834294872,0.6276113750612339,0.6301676384263474,0.007074468640349351,0.0
63,10_A_B_H,0,4,107,0.6837673047128793,0.6330042355349135,0.7460392823229546,0.36636701753821016,0.567009696883426,0.7091719460142164,0.006061105617193281,0.0
64,5_nd_A_B_OC,6,0,105,0.6900432900432901,0.6398786031296869,0.7384772090654446,0.3792852147219401,0.6210438240470753,0.6654749111597568,0.007570399611922102,0.05714285714285714
65,15_A_B_H,0,73,114,0.6774322169059013,0.6280324057015205,0.7388122713200113,0.35239447662845014,0.6653244301269056,0.598031805564137,0.007117698329643482,0.0
66,11_A_B_OC,6,0,112,0.7047841864018335,0.6614585678494501,0.7565173796791443,0.40804475496042614,0.638281079414728,0.6377154517632764,0.006208015074797082,0.05357142857142857
67,12_A_B_H,0,100,102,0.6688424032714689,0.6166816210200069,0.7311261402956907,0.33591042361290707,0.6162366536813054,0.6754795403253789,0.007949671556168072,0.0
68,9_A_B_H,0,50,101,0.6928839942817813,0.6476565579529447,0.7523958278180759,0.3855007829202275,0.6781557344587225,0.566068665805563,0.005130119491974363,0.0
69,11_nd_A_B_OC,20,0,101,0.6932810928151643,0.643892319204321,0.7505162280933978,0.38265115551673634,0.656244052422649,0.6142362840049378,0.0072581910597476875,0.19801980198019803
70,51_A_B_H,0,0,110,0.6854399611084107,0.631625541316228,0.756781720952844,0.36883124258321626,0.03192915429167611,0.9932310242586587,0.005464418729411498,0.0
71,6_A_B_H,0,92,99,0.6787662723491601,0.6324124564334972,0.7350240371630744,0.3554926039022098,0.6053253082238571,0.6792376362521833,0.007255407282165679,0.0
72,17_A_B_OC,92,0,93,0.6566327410729687,0.6030118944395993,0.7154275199815996,0.31290015258186915,0.4859666989089592,0.7865274673901533,0.0053737538000497905,0.989247311827957
73,24_nh_A_B_H,0,1,100,0.6871657754010697,0.6370480427196428,0.7447593582887698,0.3727567011449506,0.4242034239404609,0.8106922042261562,0.006760244499384879,0.0
74,16_A_B_OC,40,0,84,0.6764387573211105,0.6223545881410675,0.7499999999999999,0.352008680929869,0.6591567168422259,0.6045816131378564,0.0076779698589523595,0.47619047619047616
75,27_A_B_H,0,0,109,0.6821125447676989,0.6284078166349637,0.7484913898837267,0.3625591142477434,0.08335291856084867,0.9794179570995304,0.005458186172506933,0.0
76,21_nd_A_B_OC,0,0,111,0.694657224068989,0.6495377944231105,0.7579129932071109,0.3871886569965905,0.38947948743733474,0.8607789021353264,0.004873123964319023,0.0
77,23_nd_A_B_H,0,91,97,0.668614587353217,0.6206609205811062,0.7325376261094876,0.33369318394269903,0.622382215665679,0.6645548320170429,0.005707408471460094,0.0
78,43_A_B_H,0,0,114,0.690988835725678,0.6426989652916888,0.7494136410545078,0.38004323491031144,0.008078659291915808,0.9985521032568347,0.006844617280266897,0.0
79,22_A_B_H,0,0,103,0.6929287160583569,0.640131096052537,0.7656923316546386,0.3833968633718786,0.005320652107316749,0.9991463718257425,0.007484746613324381,0.0
80,14_A_B_H,0,100,100,0.6613101604278074,0.6102756449549789,0.7208823529411764,0.3198972791058087,0.49849947396722155,0.7912616015184329,0.006895581541053246,0.0
81,9_nd_A_B_H,0,105,105,0.662210338680927,0.6186338203742727,0.7033358798064677,0.3226645095115983,0.5410446930201103,0.7593561823974729,0.004553575291228643,0.0
82,3_A_B_OC,6,0,85,0.6910034602076126,0.6449389614294225,0.742434727901856,0.3788202896647934,0.63936861520019,0.6469112315855772,0.008875113716166212,0.07058823529411765
83,40_A_B_OC,42,0,99,0.6708799222168208,0.6190840954666549,0.7291902987090154,0.340406881344772,0.6575248971858224,0.6017551257707088,0.0065851461015749395,0.42424242424242425
84,50_A_B_H,0,0,110,0.6925133689839573,0.6423839200592832,0.7547885269810405,0.38314236581433603,0.006013538710528875,0.9989692835033452,0.007022340363850445,0.0
85,5_nd_A_B_H,0,99,101,0.6611425848467201,0.6113360730409996,0.7247842431301954,0.3192321918326571,0.5729211106039722,0.7173139037598214,0.0061525767235421245,0.0
86,8_nd_A_B_OC,76,0,82,0.6650906482326857,0.6122294099454842,0.7279248728316159,0.3283900801646752,0.5889732407503293,0.6933818485908001,0.00595215214880089,0.926829268292683
